Checklist of 2733 extant and accepted Tasmanian vascular plants filtered from the 2024 Census of the Vascular Plants of Tasmania,,,
https://flora.tmag.tas.gov.au/resources/census/,,,
de Salas, MF, Baker, ML (2024) A Census of the Vascular Plants of Tasmania, including Macquarie Island. (Tasmanian
Herbarium, Tasmanian Museum and Art Gallery, Hobart) https://flora.tmag.tas.gov.au/resources/census/,,,
,,,
Major clade,APGIV family,Full species name and authority,Introduced in Tasmania
Basal angiosperms,Hydatellaceae,Trithuria filamentosa Rodway,
Basal angiosperms,Hydatellaceae,Trithuria submersa Hook.f.,
Eudicots,Acanthaceae,Acanthus mollis L.,Yes 
Eudicots,Aizoaceae,Aizoon pubescens Eckl. & Zeyh.,Yes 
Eudicots,Aizoaceae,Carpobrotus aequilaterus (Haw.) N.E.Br.,Yes 
Eudicots,Aizoaceae,Carpobrotus edulis (L.) N.E.Br. subsp. edulis,Yes 
Eudicots,Aizoaceae,Carpobrotus rossii (Haw.) Schwantes,
Eudicots,Aizoaceae,Disphyma crassifolium subsp. clavellatum (Haw.) Chinnock,
Eudicots,Aizoaceae,Drosanthemum candens (Haw.) Schwantes,Yes 
Eudicots,Aizoaceae,Lampranthus glaucus (L.) N.E.Br.,Yes 
Eudicots,Aizoaceae,Mesembryanthemum cordifolium L.f.,Yes 
Eudicots,Aizoaceae,Mesembryanthemum crystallinum L.,Yes 
Eudicots,Aizoaceae,Tetragonia implexicoma (Miq.) Hook.f.,
Eudicots,Aizoaceae,Tetragonia tetragonoides (Pall.) Kuntze,
Eudicots,Amaranthaceae,Alternanthera denticulata R.Br.,
Eudicots,Amaranthaceae,Amaranthus albus L.,Yes 
Eudicots,Amaranthaceae,Amaranthus deflexus L.,Yes 
Eudicots,Amaranthaceae,Amaranthus powellii S.Watson,Yes 
Eudicots,Amaranthaceae,Atriplex australasica Moq.,?i
Eudicots,Amaranthaceae,Atriplex billardierei (Moq.) Hook.f.,
Eudicots,Amaranthaceae,Atriplex cinerea Poir.,
Eudicots,Amaranthaceae,Atriplex hortensis L.,Yes 
Eudicots,Amaranthaceae,Atriplex paludosa R.Br. subsp. paludosa,
Eudicots,Amaranthaceae,Atriplex patula L.,Yes 
Eudicots,Amaranthaceae,Atriplex prostrata Boucher ex DC.,Yes 
Eudicots,Amaranthaceae,Atriplex semibaccata R.Br.,?i
Eudicots,Amaranthaceae,Atriplex suberecta I.Verd.,
Eudicots,Amaranthaceae,Beta vulgaris subsp. maritima (L.) Arcang.,Yes 
Eudicots,Amaranthaceae,Chenopodium album L.,Yes 
Eudicots,Amaranthaceae,Chenopodium glaucum L.,?i
Eudicots,Amaranthaceae,Chenopodium murale L.,Yes 
Eudicots,Amaranthaceae,Chenopodium vulvaria L.,Yes 
Eudicots,Amaranthaceae,Dysphania glomulifera (Nees) Paul G.Wilson subsp. glomulifera,Yes 
Eudicots,Amaranthaceae,Dysphania pumilio (R.Br.) Mosyakin & Clemants,Yes 
Eudicots,Amaranthaceae,Einadia nutans (R.Br.) A.J.Scott subsp. nutans,
Eudicots,Amaranthaceae,Hemichroa pentandra R.Br.,
Eudicots,Amaranthaceae,Ptilotus spathulatus (R.Br.) Poir.,
Eudicots,Amaranthaceae,Rhagodia candolleana Moq. subsp. candolleana,
Eudicots,Amaranthaceae,Salicornia blackiana Ulbr.,
Eudicots,Amaranthaceae,Salicornia quinqueflora Bunge ex Ung.-Sternb. subsp. quinqueflora,
Eudicots,Amaranthaceae,Salicornia quinqueflora subsp. tasmanica (Paul G.Wilson) Piirainen & G.Kadereit,
Eudicots,Amaranthaceae,Salsola australis R.Br.,
Eudicots,Amaranthaceae,Suaeda australis (R.Br.) Moq.,
Eudicots,Amaranthaceae,Suaeda maritima (L.) Dumort. subsp. maritima,Yes 
